song_id,title,artist,genre,mood
song_1,Title_song_1,Artist_3,Rock,Chill
song_2,Title_song_2,Artist_10,Pop,Happy
song_3,Title_song_3,Artist_10,Hip-Hop,Energetic
song_4,Title_song_4,Artist_13,Jazz,Energetic
song_5,Title_song_5,Artist_13,Rock,Sad
song_6,Title_song_6,Artist_15,Pop,Happy
song_7,Title_song_7,Artist_18,Pop,Chill
song_8,Title_song_8,Artist_1,Jazz,Chill
song_9,Title_song_9,Artist_9,Hip-Hop,Energetic
song_10,Title_song_10,Artist_13,Jazz,Chill
song_11,Title_song_11,Artist_16,Hip-Hop,Happy
song_12,Title_song_12,Artist_5,Rock,Sad
song_13,Title_song_13,Artist_18,Pop,Energetic
song_14,Title_song_14,Artist_17,Hip-Hop,Sad
song_15,Title_song_15,Artist_18,Rock,Happy
song_16,Title_song_16,Artist_4,Pop,Energetic
song_17,Title_song_17,Artist_10,Classical,Energetic
song_18,Title_song_18,Artist_2,Hip-Hop,Chill
song_19,Title_song_19,Artist_4,Pop,Chill
song_20,Title_song_20,Artist_13,Classical,Energetic
song_21,Title_song_21,Artist_20,Hip-Hop,Happy
song_22,Title_song_22,Artist_15,Classical,Chill
song_23,Title_song_23,Artist_11,Rock,Energetic
song_24,Title_song_24,Artist_8,Jazz,Chill
song_25,Title_song_25,Artist_12,Rock,Happy
song_26,Title_song_26,Artist_18,Hip-Hop,Chill
song_27,Title_song_27,Artist_7,Classical,Sad
song_28,Title_song_28,Artist_17,Jazz,Energetic
song_29,Title_song_29,Artist_10,Jazz,Happy
song_30,Title_song_30,Artist_8,Rock,Happy
song_31,Title_song_31,Artist_13,Classical,Chill
song_32,Title_song_32,Artist_9,Pop,Energetic
song_33,Title_song_33,Artist_17,Hip-Hop,Happy
song_34,Title_song_34,Artist_1,Pop,Energetic
song_35,Title_song_35,Artist_3,Rock,Happy
song_36,Title_song_36,Artist_1,Pop,Sad
song_37,Title_song_37,Artist_16,Jazz,Happy
song_38,Title_song_38,Artist_7,Jazz,Chill
song_39,Title_song_39,Artist_5,Jazz,Happy
song_40,Title_song_40,Artist_11,Jazz,Happy
song_41,Title_song_41,Artist_3,Jazz,Happy
song_42,Title_song_42,Artist_16,Hip-Hop,Sad
song_43,Title_song_43,Artist_11,Classical,Happy
song_44,Title_song_44,Artist_16,Hip-Hop,Chill
song_45,Title_song_45,Artist_14,Jazz,Chill
song_46,Title_song_46,Artist_3,Hip-Hop,Sad
song_47,Title_song_47,Artist_4,Pop,Energetic
song_48,Title_song_48,Artist_15,Rock,Sad
song_49,Title_song_49,Artist_5,Jazz,Sad
song_50,Title_song_50,Artist_3,Pop,Happy
song_51,Title_song_51,Artist_15,Classical,Happy
song_52,Title_song_52,Artist_20,Pop,Happy
song_53,Title_song_53,Artist_4,Jazz,Happy
song_54,Title_song_54,Artist_2,Jazz,Happy
song_55,Title_song_55,Artist_14,Jazz,Happy
song_56,Title_song_56,Artist_9,Hip-Hop,Happy
song_57,Title_song_57,Artist_5,Rock,Sad
song_58,Title_song_58,Artist_19,Rock,Happy
song_59,Title_song_59,Artist_2,Jazz,Happy
song_60,Title_song_60,Artist_9,Pop,Energetic
song_61,Title_song_61,Artist_12,Pop,Sad
song_62,Title_song_62,Artist_20,Classical,Chill
song_63,Title_song_63,Artist_11,Jazz,Happy
song_64,Title_song_64,Artist_2,Rock,Chill
song_65,Title_song_65,Artist_1,Pop,Energetic
song_66,Title_song_66,Artist_2,Classical,Chill
song_67,Title_song_67,Artist_18,Classical,Chill
song_68,Title_song_68,Artist_8,Hip-Hop,Energetic
song_69,Title_song_69,Artist_14,Rock,Energetic
song_70,Title_song_70,Artist_1,Pop,Sad
song_71,Title_song_71,Artist_20,Classical,Happy
song_72,Title_song_72,Artist_14,Pop,Sad
song_73,Title_song_73,Artist_12,Jazz,Sad
song_74,Title_song_74,Artist_9,Hip-Hop,Chill
song_75,Title_song_75,Artist_10,Pop,Sad
song_76,Title_song_76,Artist_2,Rock,Chill
song_77,Title_song_77,Artist_4,Jazz,Energetic
song_78,Title_song_78,Artist_14,Pop,Happy
song_79,Title_song_79,Artist_4,Hip-Hop,Chill
song_80,Title_song_80,Artist_3,Pop,Happy
song_81,Title_song_81,Artist_18,Classical,Happy
song_82,Title_song_82,Artist_20,Classical,Chill
song_83,Title_song_83,Artist_15,Jazz,Happy
song_84,Title_song_84,Artist_5,Classical,Happy
song_85,Title_song_85,Artist_8,Pop,Energetic
song_86,Title_song_86,Artist_7,Classical,Sad
song_87,Title_song_87,Artist_7,Rock,Sad
song_88,Title_song_88,Artist_14,Pop,Happy
song_89,Title_song_89,Artist_9,Pop,Energetic
song_90,Title_song_90,Artist_14,Pop,Sad
song_91,Title_song_91,Artist_13,Hip-Hop,Sad
song_92,Title_song_92,Artist_5,Rock,Chill
song_93,Title_song_93,Artist_2,Rock,Chill
song_94,Title_song_94,Artist_6,Pop,Sad
song_95,Title_song_95,Artist_4,Rock,Happy
song_96,Title_song_96,Artist_11,Pop,Sad
song_97,Title_song_97,Artist_7,Hip-Hop,Happy
song_98,Title_song_98,Artist_9,Classical,Happy
song_99,Title_song_99,Artist_6,Rock,Chill
song_100,Title_song_100,Artist_3,Hip-Hop,Chill
